,Type,Date,Num,Name,Memo,Clr,Split,Amount,Balance
CHASE,,,,,,,,,
,Check,12/17/14,,FRANCHISE TAX BOARD,2014 chase chk #444,X,LLC Tax,-800,-800
,Deposit,12/30/14,,"GoldenWest Management, Inc",1828 BRIGHT LEAF 2014,X,Rental Income,12540,11740
,Check,12/30/14,,"GoldenWest Management, Inc",BRIGHT LEAF 2014,X,Management Fees,-900,10840
,Check,12/30/14,,State Farm Fire and Casualty Company,BRIGHT LEAF 2014,X,Insurance Expense,-532,10308
,Check,12/30/14,,ELDORADO THIRD CA,BRIGHT LEAF 2014,X,Community Association Fee,-192,10116
,Check,12/30/14,,,BRIGHT LEAF 2014,X,Repairs and Maintenance,-405,9711
,Check,12/30/14,,Clark County Treasures,BRIGHT LEAF 2014,X,Property Tax,-1161.35,8549.65
,Deposit,12/31/14,,"GoldenWest Management, Inc",FORT PIKE 2014,X,Rental Income,14600,23149.65
,Check,12/31/14,,MOUNTAINS EDGE MASTER ASSOCIATION,FORT PIKE,X,Community Association Fee,-714,22435.65
,Check,12/31/14,,State Farm Fire and Casualty Company,FORT PIKE,X,Insurance Expense,-690,21745.65
,Check,12/31/14,,"GoldenWest Management, Inc",FORT PIKE,X,Management Fees,-1000,20745.65
,Check,12/31/14,,Clark County Treasures,FORT PIKE 1899.86+5334.22 SID,X,Property Tax,-7234.08,13511.57
,Deposit,1/1/15,,"GoldenWest Management, Inc",1/2015 Bright Leaf,X,Rental Income,1050,6157.03
,Check,1/1/15,,"GoldenWest Management, Inc",1/2015 Bright Leaf,X,Management Fees,-75,6082.03
,Deposit,1/1/15,,"GoldenWest Management, Inc",1/2015 Fort Pike,X,Rental Income,1550,7632.03
,Check,1/1/15,,"GoldenWest Management, Inc",1/2015 Fort Pike,X,Management Fees,-100,7532.03
,Check,1/5/15,,State Farm Fire and Casualty Company,1828 Bright Leaf 1/28/2015 to 1/28/2016,X,Insurance Expense,-536,6996.03
,Check,1/5/15,,State Farm Fire and Casualty Company,10001 Fort Pike 2/11/2015 to 2/11/2016,X,Insurance Expense,-669,6327.03
,Check,2/6/15,,"GoldenWest Management, Inc",2/2015 Fort Pike,X,Management Fees,-100,6108.49
,Deposit,2/6/15,,"GoldenWest Management, Inc",2/2015 Fort Pike,X,Rental Income,1550,7658.49
,Check,2/8/15,,ELDORADO THIRD CA,"Bright Leaf 1,2,3/2015 BOA check",X,Community Association Fee,-64,7594.49
,Check,2/10/15,,"GoldenWest Management, Inc",2/2015 Bright Leaf,X,Management Fees,-75,7519.49
,Deposit,2/10/15,,"GoldenWest Management, Inc",2/2015 Bright Leaf,X,Rental Income,1050,8569.49
,Check,3/2/15,,ELDORADO THIRD CA,3/2015 BOA check Bright Leaf,X,Community Association Fee,-64,8505.49
,Check,3/2/15,,"GoldenWest Management, Inc",3/2015 Bright Leaf,X,Management Fees,-75,8430.49
,Deposit,3/2/15,,"GoldenWest Management, Inc",3/2015 Bright Leaf,X,Rental Income,1050,9480.49
,Check,3/4/15,,"GoldenWest Management, Inc",3/2015 Fort Pike,X,Management Fees,-100,9380.49
,Deposit,3/4/15,,"GoldenWest Management, Inc",3/2015 Fort Pike,X,Rental Income,1550,10930.49
,Check,3/4/15,,MERIDIAN PROPERTY SERVICES,Fort Pike trim 2 trees,X,Repairs and Maintenance,-360,10570.49
,Check,3/31/15,,FRANCHISE TAX BOARD,2015 paid boa chk# 1445,X,LLC Tax,-800,9770.49
,Check,3/31/15,,MOUNTAINS EDGE MASTER ASSOCIATION,Fort Pike HOA,X,Community Association Fee,-192,9578.49
,Deposit,4/2/15,,"GoldenWest Management, Inc",4/2015 Fort Pike,X,Rental Income,1705,11283.49
,Check,4/2/15,,"GoldenWest Management, Inc",4/2015 Fort Pike,X,Management Fees,-100,11183.49
,Check,4/2/15,,Cortis Property service,sliding glass door Bright Leaf,X,Repairs and Maintenance,-225,10958.49
,Check,4/4/15,,"GoldenWest Management, Inc",4/2015 Bright Leaf,X,Management Fees,-75,10883.49
,Deposit,4/4/15,,"GoldenWest Management, Inc",4/2015 Bright Leaf,X,Rental Income,1050,11933.49
,Deposit,5/12/15,,"GoldenWest Management, Inc",5/2015 Bright leaf,X,Rental Income,1075,13008.49
,Check,5/12/15,,"GoldenWest Management, Inc",5/2015 Bright Leaf,X,Management Fees,-75,12933.49
,Deposit,5/12/15,,"GoldenWest Management, Inc",5/2015 Fort Pike,X,Rental Income,1705,14638.49
,Check,5/12/15,,"GoldenWest Management, Inc",5/2015 Fort Pike,X,Management Fees,-115,14523.49
,Check,5/19/15,,FRANCHISE TAX BOARD,UNDERPAYMENT PENALTY paid boa chk #1501,X,LLC Tax,-58.18,14465.31
,Check,6/2/15,,ELDORADO THIRD CA,6/2015 BOA chk#1502 Bright Leaf,X,Community Association Fee,-64,14401.31
,Check,6/2/15,,MOUNTAINS EDGE MASTER ASSOCIATION,6/2015 ATY chk#1081 Fort Pike,X,Community Association Fee,-192,14209.31
,Check,6/10/15,,"GoldenWest Management, Inc",6/2015 Fort Pike,X,Management Fees,-115,14094.31
